"year"	"sex"	"name"	"n"	"prop"
1881	"M"	"Charles"	4636	0.0428129473149559
1881	"M"	"Frank"	2834	0.0261716765941728
1881	"F"	"Anna"	2698	0.0272919469536806
1881	"M"	"Joseph"	2456	0.0226808883963615
1881	"M"	"Henry"	2339	0.0216004063351341
1881	"M"	"Thomas"	2282	0.0210740176386388
1881	"M"	"Edward"	2177	0.0201043542503579
1881	"M"	"Robert"	2140	0.0197626633421065
1881	"F"	"Emma"	2034	0.0205751742415813
1881	"M"	"Harry"	2002	0.018488248603223
1881	"F"	"Elizabeth"	1852	0.0187341311186866
1881	"M"	"Walter"	1670	0.0154222653183728
1881	"F"	"Margaret"	1658	0.0167717005371395
1881	"F"	"Minnie"	1653	0.0167211224293677
1881	"M"	"Arthur"	1575	0.0145449508242139
1881	"F"	"Ida"	1439	0.0145563794167333
1881	"M"	"Fred"	1418	0.0130950731864986
1881	"F"	"Annie"	1326	0.0134133141810899
1881	"F"	"Bertha"	1324	0.0133930829379811
1881	"M"	"Albert"	1319	0.0121808191346909
1881	"F"	"Alice"	1308	0.0132312329931113
1881	"F"	"Clara"	1242	0.0125636019705231
1881	"F"	"Sarah"	1226	0.0124017520256532
1881	"F"	"Ella"	1148	0.0116127335444126
1881	"F"	"Nellie"	1096	0.0110867212235856
1881	"F"	"Grace"	1089	0.011015911872705
1881	"F"	"Florence"	1046	0.0105809401458673
1881	"F"	"Martha"	1044	0.0105607089027585
1881	"F"	"Cora"	969	0.00980203728618105
1881	"F"	"Laura"	962	0.00973122793530048
1881	"F"	"Carrie"	958	0.00969076544908302
1881	"F"	"Maude"	923	0.00933671869468019
1881	"M"	"Samuel"	919	0.00848686336981115
1881	"F"	"Bessie"	903	0.00913440626359287
1881	"F"	"Mabel"	893	0.0090332500480492
1881	"F"	"Gertrude"	791	0.00800145664950383
1881	"F"	"Ethel"	788	0.00797110978484073
1881	"F"	"Jennie"	784	0.00793064729862326
1881	"F"	"Edith"	778	0.00786995356929707
1881	"F"	"Hattie"	775	0.00783960670463397
1881	"F"	"Mattie"	754	0.00762717865199227
1881	"M"	"David"	750	0.00692616705914947
1881	"M"	"Louis"	746	0.00688922750150067
1881	"F"	"Julia"	737	0.00745521308556804
1881	"F"	"Rose"	734	0.00742486622090494
1881	"F"	"Lillian"	723	0.00731359438380691
1881	"F"	"Lillie"	678	0.00685839141386042
1881	"M"	"Charlie"	668	0.00616890612734913
1881	"M"	"Clarence"	668	0.00616890612734913
1881	"F"	"Eva"	661	0.0066864258474362
1881	"F"	"Jessie"	661	0.0066864258474362
1881	"F"	"Lula"	655	0.00662573211811
1881	"F"	"Myrtle"	643	0.0065043446594576
1881	"F"	"Pearl"	641	0.00648411341634887
1881	"M"	"Richard"	641	0.00591956411321974
1881	"M"	"Joe"	639	0.00590109433439535
1881	"F"	"Edna"	637	0.0064436509301314
1881	"F"	"Catherine"	635	0.00642341968702267
1881	"F"	"Ada"	628	0.0063526103361421
1881	"F"	"Louise"	617	0.00624133849904407
1881	"F"	"Helen"	612	0.00619076039127224
1881	"F"	"Lucy"	611	0.00618064476971788
1881	"M"	"Andrew"	588	0.00543011497437318
1881	"F"	"Frances"	586	0.00592775423085872
1881	"F"	"Dora"	585	0.00591763860930435
1881	"M"	"Ernest"	571	0.00527312185436579
1881	"F"	"Fannie"	565	0.00571532617821702
1881	"F"	"Josephine"	563	0.00569509493510829
1881	"F"	"Daisy"	562	0.00568497931355392
1881	"F"	"Lena"	555	0.00561416996267336
1881	"M"	"Will"	550	0.00507918917670961
1881	"M"	"Jesse"	536	0.00494990072493882
1881	"F"	"Maggie"	532	0.00538151066692293
1881	"M"	"Oscar"	530	0.00489449138846562
1881	"M"	"Daniel"	527	0.00486678672022903
1881	"F"	"Katherine"	504	0.00509827326340067
1881	"F"	"Rosa"	500	0.0050578107771832
1881	"F"	"Marie"	499	0.00504769515562884
1881	"F"	"Nora"	498	0.00503757953407447
1881	"M"	"Willie"	498	0.00459897492727525
1881	"M"	"Benjamin"	481	0.00444198180726786
1881	"M"	"Sam"	481	0.00444198180726786
1881	"M"	"Alfred"	466	0.00430345846608487
1881	"F"	"Effie"	463	0.00468353277967165
1881	"F"	"Blanche"	456	0.00461272342879108
1881	"F"	"May"	451	0.00456214532101925
1881	"M"	"Roy"	440	0.00406335134136769
1881	"M"	"Lewis"	439	0.00405411645195549
1881	"M"	"Frederick"	433	0.00399870711548229
1881	"F"	"Nancy"	429	0.00433960164682319
1881	"F"	"Della"	428	0.00432948602526882
1881	"M"	"Peter"	428	0.0039525326684213
1881	"F"	"Agnes"	424	0.00428902353905136
1881	"F"	"Nettie"	419	0.00423844543127952
1881	"F"	"Sallie"	416	0.00420809856661643
1881	"F"	"Stella"	416	0.00420809856661643
1882	"M"	"John"	9557	0.0783155237970368
1882	"M"	"William"	9298	0.076193129670906
1882	"F"	"Mary"	8148	0.0704247264429809
1882	"M"	"James"	5892	0.048282417726498
1882	"M"	"George"	5193	0.0425544119575193
1882	"M"	"Charles"	5092	0.0417267601940475
1882	"M"	"Frank"	3176	0.0260259604038285
1882	"F"	"Anna"	3143	0.0271655516949299
1882	"M"	"Joseph"	2670	0.0218795070145536
1882	"M"	"Thomas"	2610	0.0213878326996198
1882	"M"	"Henry"	2579	0.0211338009702373
1882	"M"	"Robert"	2500	0.0204864297889078
1882	"M"	"Edward"	2477	0.0202979546348499
1882	"F"	"Emma"	2303	0.0199052706183339
1882	"M"	"Harry"	2232	0.0182902845155369
1882	"F"	"Elizabeth"	2187	0.0189026603744231
1882	"F"	"Minnie"	2004	0.0173209562827361
1882	"F"	"Margaret"	1821	0.0157392521910491
1882	"M"	"Walter"	1805	0.0147912023075915
1882	"M"	"Arthur"	1686	0.0138160482496394
1882	"F"	"Ida"	1673	0.014460059810887
1882	"M"	"Fred"	1641	0.0134472925134391
1882	"F"	"Alice"	1542	0.0133278016906083
1882	"F"	"Bertha"	1508	0.0130339331708413
1882	"M"	"Albert"	1499	0.0122836633014291
1882	"F"	"Annie"	1492	0.0128956421027157
1882	"F"	"Clara"	1490	0.0128783557192
1882	"F"	"Sarah"	1410	0.0121869003785718
1882	"F"	"Florence"	1322	0.0114262995038808
1882	"F"	"Martha"	1229	0.0106224826704005
1882	"F"	"Ella"	1206	0.0104236892599699
1882	"F"	"Grace"	1195	0.0103286141506335
1882	"F"	"Laura"	1151	0.00994831371328804
1882	"F"	"Bessie"	1144	0.00988781137098308
1882	"F"	"Nellie"	1138	0.00983595222043596
1882	"F"	"Maude"	1089	0.0094124358243012
1882	"F"	"Cora"	1076	0.00930007433144912
1882	"F"	"Carrie"	1037	0.00896298985289288
1882	"M"	"Samuel"	1003	0.00821915563130982
1882	"F"	"Mabel"	997	0.00861726218257878
1882	"F"	"Ethel"	989	0.00854811664851596
1882	"F"	"Mattie"	966	0.00834932323808536
1882	"F"	"Gertrude"	939	0.00811595706062335
1882	"F"	"Jennie"	934	0.00807274110183409
1882	"F"	"Rose"	886	0.00765786789745717
1882	"F"	"Edith"	876	0.00757143597987865
1882	"F"	"Hattie"	859	0.00742450171999516
1882	"M"	"Louis"	852	0.00698177527205979
1882	"F"	"Helen"	838	0.00724299469308026
1882	"M"	"David"	838	0.0068670512652419
1882	"M"	"Clarence"	837	0.00685885669332634
1882	"F"	"Lillian"	830	0.00717384915901744
1882	"F"	"Pearl"	824	0.00712199000847033
1882	"F"	"Louise"	813	0.00702691489913395
1882	"F"	"Julia"	811	0.00700962851561825
1882	"F"	"Lillie"	810	0.0070009853238604
1882	"F"	"Jessie"	806	0.00696641255682899
1882	"F"	"Myrtle"	803	0.00694048298155543
1882	"F"	"Edna"	783	0.00676761914639838
1882	"F"	"Lula"	780	0.00674168957112482
1882	"F"	"Eva"	765	0.00661204169475704
1882	"M"	"Charlie"	753	0.00617051265241904
1882	"M"	"Richard"	746	0.0061131506490101
1882	"M"	"Joe"	739	0.00605578864560115
1882	"F"	"Catherine"	726	0.0062749572162008
1882	"F"	"Lena"	697	0.00602430465522308
1882	"F"	"Ada"	689	0.00595515912116026
1882	"F"	"Frances"	681	0.00588601358709744
1882	"F"	"Lucy"	673	0.00581686805303462
1882	"M"	"Andrew"	673	0.00551494689917399
1882	"M"	"Will"	666	0.00545758489576505
1882	"M"	"Jesse"	660	0.00540841746427167
1882	"F"	"Fannie"	650	0.00561807464260402
1882	"F"	"Daisy"	648	0.00560078825908832
1882	"M"	"Ernest"	642	0.00526091516979153
1882	"F"	"Josephine"	638	0.00551435634150979
1882	"F"	"Maggie"	627	0.00541928123217342
1882	"M"	"Oscar"	625	0.00512160744722696
1882	"F"	"Dora"	594	0.00513405590416429
1882	"M"	"Daniel"	594	0.0048675757178445
1882	"F"	"Katherine"	591	0.00510812632889073
1882	"F"	"Marie"	591	0.00510812632889073
1882	"F"	"Agnes"	565	0.00488340334318657
1882	"F"	"Effie"	561	0.00484883057615516
1882	"M"	"Sam"	555	0.00454798741313754
1882	"F"	"Blanche"	547	0.00472782589154523
1882	"F"	"Rosa"	542	0.00468460993275597
1882	"M"	"Willie"	541	0.00443326340631965
1882	"F"	"Nora"	539	0.00465868035748241
1882	"M"	"Alfred"	523	0.00428576111183952
1882	"M"	"Roy"	521	0.00426937196800839
1882	"F"	"May"	511	0.00441667098826255
1882	"F"	"Mamie"	508	0.00439074141298899
1882	"F"	"Stella"	506	0.00437345502947328
1882	"F"	"Lizzie"	495	0.00427837992013691
1882	"F"	"Sallie"	487	0.00420923438607409
1882	"M"	"Benjamin"	478	0.00391700537563918
1882	"M"	"Carl"	478	0.00391700537563918
1882	"M"	"Peter"	461	0.0037776976530746
1882	"M"	"Frederick"	457	0.00374491936541235
1883	"M"	"John"	8894	0.0790711320134067
1883	"M"	"William"	8387	0.0745637040922467
1883	"F"	"Mary"	8012	0.0667305209678091
1883	"M"	"James"	5224	0.0464433993296646
1883	"M"	"Charles"	4826	0.0429050239596021
1883	"M"	"George"	4736	0.0421048888256683
1883	"F"	"Anna"	3306	0.0275350851622038
1883	"M"	"Frank"	2986	0.0265467056658458
1883	"M"	"Joseph"	2516	0.0223682221886363
1883	"M"	"Henry"	2383	0.0211858002684898
1883	"F"	"Emma"	2367	0.0197143214092367
1883	"M"	"Robert"	2334	0.0207501711400148
1883	"M"	"Thomas"	2316	0.020590144113228
1883	"F"	"Elizabeth"	2255	0.0187814933577645
1883	"M"	"Edward"	2250	0.0200033783483433
1883	"M"	"Harry"	2110	0.0187587236955575
1883	"F"	"Minnie"	2035	0.0169491525423729
1883	"F"	"Margaret"	1881	0.0156665139715987
1883	"M"	"Walter"	1705	0.0151581155928557
1883	"F"	"Bertha"	1681	0.0140007495939699
1883	"F"	"Ida"	1634	0.0136092949652272
1883	"M"	"Arthur"	1591	0.014144611089873
1883	"F"	"Annie"	1589	0.0132344979802607
1883	"F"	"Clara"	1548	0.0128930162828468
1883	"M"	"Fred"	1502	0.0133533663463163
1883	"M"	"Albert"	1496	0.013300024004054
1883	"F"	"Alice"	1488	0.0123932869695582
1883	"F"	"Sarah"	1359	0.0113188689459876
1883	"F"	"Grace"	1307	0.0108857702078041
1883	"F"	"Florence"	1298	0.0108108108108108
1883	"F"	"Martha"	1255	0.0104526714696206
1883	"F"	"Ella"	1251	0.010419356182068
1883	"F"	"Nellie"	1246	0.0103777120726273
1883	"F"	"Bessie"	1241	0.0103360679631866
1883	"F"	"Laura"	1183	0.00985299629367426
1883	"F"	"Ethel"	1132	0.00942822637737892
1883	"F"	"Carrie"	1108	0.00922833465206347
1883	"F"	"Maude"	1096	0.00912838878940574
1883	"F"	"Mabel"	1086	0.0090451005705243
1883	"F"	"Cora"	1081	0.00900345646108358
1883	"M"	"Samuel"	937	0.00833029578328784
1883	"F"	"Gertrude"	923	0.00768750260275684
1883	"F"	"Lillian"	907	0.00755424145254654
1883	"F"	"Jennie"	904	0.00752925498688211
1883	"F"	"Hattie"	895	0.00745429558988881
1883	"F"	"Pearl"	886	0.00737933619289551
1883	"F"	"Mattie"	883	0.00735434972723108
1883	"F"	"Edith"	881	0.00733769208345479
1883	"F"	"Eva"	879	0.00732103443967851
1883	"F"	"Rose"	877	0.00730437679590222
1883	"F"	"Julia"	875	0.00728771915212593
1883	"F"	"Helen"	862	0.00717944446758006
1883	"F"	"Catherine"	853	0.00710448507058677
1883	"F"	"Myrtle"	851	0.00708782742681048
1883	"F"	"Louise"	847	0.0070545121392579
1883	"F"	"Lillie"	837	0.00697122392037646
1883	"M"	"Clarence"	837	0.0074412567455837
1883	"F"	"Jessie"	833	0.00693790863282389
1883	"F"	"Edna"	823	0.00685462041394245
1883	"F"	"Lena"	800	0.00666305751051514
1883	"M"	"Louis"	796	0.007076750740125
1883	"F"	"Lula"	790	0.0065797692916337
1883	"F"	"Ada"	778	0.00647982342897597
1883	"M"	"David"	735	0.00653443692712547
1883	"F"	"Frances"	710	0.00591346354058218
1883	"F"	"Josephine"	698	0.00581351767792446
1883	"F"	"Fannie"	696	0.00579686003414817
1883	"F"	"Lucy"	663	0.00552200891183942
1883	"F"	"Maggie"	663	0.00552200891183942
1883	"F"	"Daisy"	659	0.00548869362428684
1883	"M"	"Richard"	649	0.0057698633546999
1883	"M"	"Charlie"	643	0.00571652101243766
1883	"M"	"Ernest"	641	0.00569874023168357
1883	"F"	"Dora"	640	0.00533044600841211
1883	"F"	"Agnes"	623	0.00518885603631366
1883	"M"	"Andrew"	623	0.00553871320489683
1883	"F"	"Marie"	622	0.00518052721442552
1883	"M"	"Daniel"	615	0.0054675900818805
1883	"F"	"Blanche"	610	0.00508058135176779
1883	"M"	"Joe"	607	0.00539646695886416
1883	"M"	"Oscar"	607	0.00539646695886416
1883	"F"	"Nora"	589	0.00490567609211677
1883	"M"	"Jesse"	584	0.00519198798019221
1883	"F"	"Katherine"	583	0.00485570316078791
1883	"M"	"Will"	576	0.00512086485717588
1883	"M"	"Roy"	556	0.00494305704963505
1883	"F"	"May"	532	0.00443093324449257
1883	"F"	"Mamie"	531	0.00442260442260442
1883	"F"	"Stella"	529	0.00440594677882813
1883	"M"	"Benjamin"	508	0.00451631831153706
1883	"F"	"Effie"	507	0.00422271269728897
1883	"F"	"Rosa"	507	0.00422271269728897
1883	"F"	"Ellen"	500	0.00416441094407196
1883	"F"	"Lizzie"	496	0.00413109565651939
1883	"F"	"Nettie"	494	0.0041144380127431
1883	"M"	"Carl"	480	0.0042673873809799
1883	"F"	"Elsie"	479	0.00398950568442094
1883	"M"	"Sam"	476	0.00423182581947173
1883	"M"	"Willie"	474	0.00421404503871765
1883	"M"	"Alfred"	457	0.00406290840230795
1884	"M"	"John"	9388	0.0764856365384302
1884	"F"	"Mary"	9217	0.0669898537663168
1884	"M"	"William"	8897	0.0724853758289746
1884	"M"	"James"	5693	0.046381841586417
1884	"M"	"George"	4961	0.0404181127894282
1884	"M"	"Charles"	4802	0.0391227126818856
1884	"F"	"Anna"	3860	0.0280547722185074
1884	"M"	"Frank"	3218	0.0262175946293852
1884	"M"	"Joseph"	2708	0.0220625376806635
1884	"F"	"Emma"	2587	0.0188025118469634
1884	"M"	"Thomas"	2572	0.0209545224943377
1884	"F"	"Elizabeth"	2549	0.0185263249702009
1884	"M"	"Henry"	2474	0.0201560997865441
1884	"M"	"Robert"	2469	0.0201153639341057
1884	"M"	"Edward"	2439	0.019870948819475
1884	"M"	"Harry"	2323	0.018925877042903
1884	"F"	"Minnie"	2243	0.0163022938046923
1884	"F"	"Margaret"	2143	0.0155754862342646
1884	"M"	"Walter"	1902	0.0154959182675857
1884	"F"	"Ida"	1882	0.0136785184754484
1884	"F"	"Clara"	1852	0.0134604762043201
1884	"F"	"Bertha"	1789	0.0130025874349507
1884	"F"	"Annie"	1739	0.0126391836497369
1884	"F"	"Alice"	1732	0.012588307119807
1884	"M"	"Arthur"	1690	0.0137687181241955
1884	"M"	"Fred"	1638	0.0133450652588356
1884	"F"	"Florence"	1570	0.0114108788557142
1884	"F"	"Grace"	1525	0.0110838154490217
1884	"F"	"Sarah"	1518	0.0110329389190918
1884	"F"	"Bessie"	1451	0.0105459778469053
1884	"F"	"Martha"	1443	0.010487833241271
1884	"M"	"Albert"	1435	0.0116911896498346
1884	"F"	"Nellie"	1417	0.0102988632729599
1884	"F"	"Ethel"	1386	0.0100735529261273
1884	"F"	"Ella"	1374	0.00998633601767596
1884	"F"	"Mabel"	1270	0.0092304561444312
1884	"F"	"Laura"	1246	0.00905602232752856
1884	"F"	"Carrie"	1245	0.00904875425182429
1884	"F"	"Cora"	1244	0.00904148617612001
1884	"F"	"Maude"	1225	0.00890339273773876
1884	"F"	"Pearl"	1138	0.0082710701514667
1884	"F"	"Lillian"	1109	0.00806029595604268
1884	"F"	"Edith"	1104	0.0080239555775213
1884	"F"	"Gertrude"	1063	0.00772596447364596
1884	"F"	"Jennie"	1063	0.00772596447364596
1884	"F"	"Rose"	1060	0.00770416024653313
1884	"F"	"Mattie"	1007	0.00731895223420647
1884	"F"	"Hattie"	993	0.0072171991743466
1884	"F"	"Helen"	986	0.00716632264441666
1884	"F"	"Myrtle"	979	0.00711544611448673
1884	"F"	"Louise"	962	0.00699188882751403
1884	"F"	"Edna"	957	0.00695554844899264
1884	"M"	"Samuel"	945	0.0076990761108667
1884	"F"	"Julia"	935	0.00679565078349856
1884	"F"	"Eva"	929	0.0067520423292729
1884	"F"	"Lula"	916	0.00665755734511731
1884	"F"	"Lillie"	911	0.00662121696659592
1884	"F"	"Lena"	906	0.00658487658807454
1884	"M"	"Clarence"	889	0.00724283456355608
1884	"F"	"Jessie"	888	0.00645405122539756
1884	"M"	"Louis"	886	0.00721839305209301
1884	"F"	"Catherine"	874	0.00635229816553769
1884	"F"	"Ada"	854	0.00620693665145216
1884	"M"	"Grover"	802	0.00653403073112708
1884	"F"	"Josephine"	800	0.00581446056342123
1884	"F"	"Frances"	789	0.00573451173067419
1884	"F"	"Lucy"	787	0.00571997557926563
1884	"M"	"David"	761	0.0061999967411318
1884	"M"	"Joe"	760	0.00619184957064412
1884	"F"	"Maggie"	749	0.00544378870250312
1884	"M"	"Richard"	749	0.00610223069527953
1884	"F"	"Marie"	746	0.0054219844753903
1884	"M"	"Charlie"	746	0.00607778918381646
1884	"F"	"Fannie"	738	0.00536383986975608
1884	"F"	"Dora"	720	0.00523301450707911
1884	"F"	"Blanche"	711	0.00516760182574062
1884	"F"	"Agnes"	703	0.0051094572201064
1884	"M"	"Ernest"	690	0.00562154763650584
1884	"F"	"Daisy"	685	0.00497863185742943
1884	"M"	"Roy"	680	0.00554007593162895
1884	"F"	"Katherine"	671	0.00487687879756956
1884	"M"	"Jesse"	670	0.00545860422675205
1884	"M"	"Will"	650	0.00529566081699826
1884	"F"	"Nora"	648	0.00470971305637119
1884	"M"	"Andrew"	616	0.00501865702041681
1884	"M"	"Oscar"	615	0.00501050984992912
1884	"F"	"Mamie"	609	0.00442625810390441
1884	"F"	"Rosa"	607	0.00441172195249586
1884	"F"	"Ellen"	597	0.00433904119545309
1884	"F"	"Stella"	584	0.0042445562112975
1884	"M"	"Willie"	578	0.0047090645418846
1884	"M"	"Daniel"	573	0.00466832868944616
1884	"F"	"May"	564	0.00409919469721197
1884	"F"	"Effie"	558	0.00405558624298631
1884	"F"	"Elsie"	549	0.00399017356164782
1884	"F"	"Mae"	542	0.00393929703171788
1884	"F"	"Della"	541	0.00393202895601361
1884	"M"	"Sam"	533	0.00434244186993857
1884	"M"	"Peter"	524	0.00426911733554936
1884	"F"	"Lizzie"	523	0.00380120359333663
1884	"M"	"Elmer"	523	0.00426097016506167
1885	"F"	"Mary"	9128	0.0643043325114477
1885	"M"	"John"	8756	0.0755166108945389
1885	"M"	"William"	8044	0.0693759271397523
1885	"M"	"James"	5175	0.0446320764480629
1885	"M"	"George"	4674	0.0403111739745403
1885	"M"	"Charles"	4599	0.0396643322868872
1885	"F"	"Anna"	3994	0.028136667840789
1885	"M"	"Frank"	3067	0.0264515127470935
1885	"F"	"Emma"	2728	0.0192180345191969
1885	"F"	"Elizabeth"	2582	0.0181895033462487
1885	"M"	"Joseph"	2540	0.0219063718218512
1885	"M"	"Henry"	2406	0.020750681339911
1885	"M"	"Robert"	2322	0.0200262186497395
1885	"M"	"Thomas"	2266	0.0195432435229586
1885	"M"	"Edward"	2220	0.0191465139545313
1885	"F"	"Margaret"	2204	0.0155265938710814
1885	"M"	"Harry"	2198	0.0189567737261531
1885	"F"	"Minnie"	2178	0.0153434307854878
1885	"F"	"Clara"	1910	0.0134554420570623
1885	"F"	"Bertha"	1860	0.0131032053539979
1885	"F"	"Ida"	1854	0.0130609369496302
1885	"M"	"Walter"	1808	0.0155931969503571
1885	"F"	"Annie"	1703	0.0119971821063755
1885	"F"	"Alice"	1681	0.0118421979570271
1885	"F"	"Florence"	1667	0.0117435716801691
1885	"F"	"Bessie"	1588	0.0111870376893272
1885	"F"	"Grace"	1575	0.0110954561465305
1885	"M"	"Fred"	1562	0.0134715562148549
1885	"M"	"Arthur"	1516	0.0130748266464277
1885	"F"	"Ethel"	1495	0.0105318774216273
1885	"F"	"Nellie"	1432	0.0100880591757661
1885	"M"	"Albert"	1429	0.0123244902887501
1885	"F"	"Martha"	1425	0.0100387460373371
1885	"F"	"Sarah"	1424	0.0100317013032758
1885	"F"	"Ella"	1395	0.00982740401549841
1885	"F"	"Mabel"	1349	0.00950334624867911
1885	"F"	"Laura"	1325	0.00933427263120817
1885	"F"	"Carrie"	1283	0.00903839380063403
1885	"F"	"Cora"	1253	0.00882705177879535
1885	"F"	"Maude"	1222	0.00860866502289538
1885	"F"	"Rose"	1164	0.00820007044734061
1885	"F"	"Pearl"	1146	0.00807326523423741
1885	"F"	"Lillian"	1143	0.00805213103205354
1885	"F"	"Helen"	1134	0.00798872842550194
1885	"F"	"Gertrude"	1086	0.00765058119056006
1885	"F"	"Edna"	1077	0.00758717858400845
1885	"F"	"Edith"	1071	0.00754491017964072
1885	"F"	"Julia"	1062	0.00748150757308912
1885	"F"	"Jennie"	1045	0.0073617470940472
1885	"F"	"Myrtle"	1026	0.00722789714688271
1885	"F"	"Mattie"	1014	0.00714336033814723
1885	"F"	"Hattie"	1008	0.0071010919337795
1885	"F"	"Lillie"	979	0.00689679464600211
1885	"F"	"Eva"	971	0.0068404367735118
1885	"F"	"Louise"	956	0.00673476576259246
1885	"F"	"Jessie"	952	0.00670658682634731
1885	"F"	"Lula"	949	0.00668545262416344
1885	"M"	"Clarence"	906	0.00781384758684928
1885	"M"	"Samuel"	888	0.00765860558181254
1885	"F"	"Marie"	885	0.00623458964424093
1885	"F"	"Ada"	876	0.00617118703768933
